code,description
A488,Other specified bacterial diseases
A4901,Methicillin susceptible Staphylococcus aureus infection unspecified site
A491,Streptococcal infection unspecified site
A492,Hemophilus influenzae infection unspecified site
A493,Mycoplasma infection unspecified site
A498,Other bacterial infections of unspecified site
A499,Bacterial infection unspecified
A5001,Early congenital syphilitic oculopathy
A5006,Early cutaneous congenital syphilis
A5007,Early mucocutaneous congenital syphilis
A5008,Early visceral congenital syphilis
A5009,Other early congenital syphilis symptomatic
A501,Early congenital syphilis latent
A5030,Late congenital syphilitic oculopathy unspecified
A5039,Other late congenital syphilitic oculopathy
A5040,Late congenital neurosyphilis unspecified
A5045,Juvenile general paresis
A5049,Other late congenital neurosyphilis
A5051,Clutton's joints
A5052,Hutchinson's teeth
A5054,Late congenital cardiovascular syphilis
A5057,Syphilitic saddle nose
A5059,Other late congenital syphilis symptomatic
A506,Late congenital syphilis latent
A509,Congenital syphilis unspecified
A510,Primary genital syphilis
A511,Primary anal syphilis
A512,Primary syphilis of other sites
A5131,Condyloma latum
A5132,Syphilitic alopecia
A5139,Other secondary syphilis of skin
A5141,Secondary syphilitic meningitis
A5149,Other secondary syphilitic conditions
A515,Early syphilis latent
A5200,Cardiovascular syphilis unspecified
A5201,Syphilitic aneurysm of aorta
A5205,Other cerebrovascular syphilis
A5206,Other syphilitic heart involvement
A5209,Other cardiovascular syphilis
A5210,Symptomatic neurosyphilis unspecified
A5211,Tabes dorsalis
A5212,Other cerebrospinal syphilis
A5213,Late syphilitic meningitis
A5216,Charcot's arthropathy (tabetic)
A5217,General paresis
A5219,Other symptomatic neurosyphilis
A522,Asymptomatic neurosyphilis
A523,Neurosyphilis unspecified
A5271,Late syphilitic oculopathy
A5272,Syphilis of lung and bronchus
A5273,Symptomatic late syphilis of other respiratory organs
A5274,Syphilis of liver and other viscera
A5276,Other genitourinary symptomatic late syphilis
A5277,Syphilis of bone and joint
A5279,Other symptomatic late syphilis
A528,Late syphilis latent
A530,Latent syphilis unspecified as early or late
A539,Syphilis unspecified
A5400,Gonococcal infection of lower genitourinary tract unspecified
A5409,Other gonococcal infection of lower genitourinary tract
A541,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
A5429,Other gonococcal genitourinary infections
A5430,Gonococcal infection of eye unspecified
A5439,Other gonococcal eye infection
A5440,Gonococcal infection of musculoskeletal system unspecified
A5489,Other gonococcal infections
A549,Gonococcal infection unspecified
A55,Chlamydial lymphogranuloma (venereum)
A5609,Other chlamydial infection of lower genitourinary tract
A5611,Chlamydial female pelvic inflammatory disease
A5619,Other chlamydial genitourinary infection
A562,Chlamydial infection of genitourinary tract unspecified
A568,Sexually transmitted chlamydial infection of other sites
A57,Chancroid
A58,Granuloma inguinale
A5900,Urogenital trichomoniasis unspecified
A5901,Trichomonal vulvovaginitis
A5909,Other urogenital trichomoniasis
A598,Trichomoniasis of other sites
A6000,Herpesviral infection of urogenital system unspecified
A609,Anogenital herpesviral infection unspecified
A638,Other specified predominantly sexually transmitted diseases
A64,Unspecified sexually transmitted disease
A65,Nonvenereal syphilis
A660,Initial lesions of yaws
A661,Multiple papillomata and wet crab yaws
A662,Other early skin lesions of yaws
A663,Hyperkeratosis of yaws
A664,Gummata and ulcers of yaws
A665,Gangosa
A666,Bone and joint lesions of yaws
A667,Other manifestations of yaws
A668,Latent yaws
A669,Yaws unspecified
A670,Primary lesions of pinta
A671,Intermediate lesions of pinta
A672,Late lesions of pinta
A673,Mixed lesions of pinta
A679,Pinta unspecified
A680,Louse-borne relapsing fever
A681,Tick-borne relapsing fever
A689,Relapsing fever unspecified
A690,Necrotizing ulcerative stomatitis
A691,Other Vincent's infections
A6920,Lyme disease unspecified
A6921,Meningitis due to Lyme disease
A6922,Other neurologic disorders in Lyme disease
A6923,Arthritis due to Lyme disease
A6929,Other conditions associated with Lyme disease
A698,Other specified spirochetal infections
A699,Spirochetal infection unspecified
A70,Chlamydia psittaci infections
A710,Initial stage of trachoma
A711,Active stage of trachoma
A719,Trachoma unspecified
A740,Chlamydial conjunctivitis
A7489,Other chlamydial diseases
A749,Chlamydial infection unspecified
A750,Epidemic louse-borne typhus fever due to Rickettsia prowazekii
A751,Recrudescent typhus [Brill's disease]
A752,Typhus fever due to Rickettsia typhi
A770,Spotted fever due to Rickettsia rickettsii
A7740,Ehrlichiosis unspecified
A7749,Other ehrlichiosis
A778,Other spotted fevers
A779,Spotted fever unspecified
A78,Q fever
A790,Trench fever
A791,Rickettsialpox due to Rickettsia akari
A7981,Rickettsiosis due to Ehrlichia sennetsu
A7982,Anaplasmosis [A. phagocytophilum]
A7989,Other specified rickettsioses
A799,Rickettsiosis unspecified
A800,Acute paralytic poliomyelitis vaccine-associated
A8039,Other acute paralytic poliomyelitis
A804,Acute nonparalytic poliomyelitis
A809,Acute poliomyelitis unspecified
A8100,Creutzfeldt-Jakob disease unspecified
A8101,Variant Creutzfeldt-Jakob disease
A8109,Other Creutzfeldt-Jakob disease
A811,Subacute sclerosing panencephalitis
A812,Progressive multifocal leukoencephalopathy
A8181,Kuru
A8182,Gerstmann-Straussler-Scheinker syndrome
A8183,Fatal familial insomnia
A8189,Other atypical virus infections of central nervous system
A819,Atypical virus infection of central nervous system unspecified
A820,Sylvatic rabies
A821,Urban rabies
A829,Rabies unspecified
A830,Japanese encephalitis
A831,Western equine encephalitis
A832,Eastern equine encephalitis
A833,St Louis encephalitis
A834,Australian encephalitis
A835,California encephalitis
A836,Rocio virus disease
A838,Other mosquito-borne viral encephalitis
A839,Mosquito-borne viral encephalitis unspecified
A840,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]
A841,Central European tick-borne encephalitis
A8481,Powassan virus disease
A8489,Other tick-borne viral encephalitis
A849,Tick-borne viral encephalitis unspecified
A850,Enteroviral encephalitis
A851,Adenoviral encephalitis
A852,Arthropod-borne viral encephalitis unspecified
A858,Other specified viral encephalitis
A86,Unspecified viral encephalitis
A870,Enteroviral meningitis
A871,Adenoviral meningitis
A872,Lymphocytic choriomeningitis
A878,Other viral meningitis
A879,Viral meningitis unspecified
A880,Enteroviral exanthematous fever [Boston exanthem]
A881,Epidemic vertigo
A888,Other specified viral infections of central nervous system
A89,Unspecified viral infection of central nervous system
A90,Dengue fever [classical dengue]
A91,Dengue hemorrhagic fever
A920,Chikungunya virus disease
A921,O'nyong-nyong fever
A922,Venezuelan equine fever
A9230,West Nile virus infection unspecified
A924,Rift Valley fever
A925,Zika virus disease
A928,Other specified mosquito-borne viral fevers
A929,Mosquito-borne viral fever unspecified
A930,Oropouche virus disease
A931,Sandfly fever
A932,Colorado tick fever
A938,Other specified arthropod-borne viral fevers
A94,Unspecified arthropod-borne viral fever
A950,Sylvatic yellow fever
A951,Urban yellow fever
A959,Yellow fever unspecified
A960,Junin hemorrhagic fever
A961,Machupo hemorrhagic fever
A962,Lassa fever
A968,Other arenaviral hemorrhagic fevers
A969,Arenaviral hemorrhagic fever unspecified
A980,Crimean-Congo hemorrhagic fever
A981,Omsk hemorrhagic fever
A982,Kyasanur Forest disease
A983,Marburg virus disease
A984,Ebola virus disease
A985,Hemorrhagic fever with renal syndrome
A988,Other specified viral hemorrhagic fevers
A99,Unspecified viral hemorrhagic fever
B000,Eczema herpeticum
B001,Herpesviral vesicular dermatitis
B0059,Other herpesviral disease of eye
B007,Disseminated herpesviral disease
B0081,Herpesviral hepatitis
B0082,Herpes simplex myelitis
B0089,Other herpesviral infection
B009,Herpesviral infection unspecified
B010,Varicella meningitis
B0189,Other varicella complications
B019,Varicella without complication
B020,Zoster encephalitis
B021,Zoster meningitis
B0221,Postherpetic geniculate ganglionitis
B0229,Other postherpetic nervous system involvement
B0230,Zoster ocular disease unspecified
B0231,Zoster conjunctivitis
B0232,Zoster iridocyclitis
B0233,Zoster keratitis
B0234,Zoster scleritis
B0239,Other herpes zoster eye disease
B027,Disseminated zoster
B028,Zoster with other complications
B03,Smallpox
B04,Monkeypox
B050,Measles complicated by encephalitis
B054,Measles with intestinal complications
B0581,Measles keratitis and keratoconjunctivitis
B0589,Other measles complications
B059,Measles without complication
B0600,Rubella with neurological complication unspecified
B0601,Rubella encephalitis
B0602,Rubella meningitis
B0609,Other neurological complications of rubella
B0681,Rubella pneumonia
B0682,Rubella arthritis
B0689,Other rubella complications
B069,Rubella without complication
B070,Plantar wart
B078,Other viral warts
B079,Viral wart unspecified
B08010,Cowpox
B08011,Vaccinia not from vaccine
B0802,Orf virus disease
B0803,Pseudocowpox [milker's node]
B0804,Paravaccinia unspecified
B0809,Other orthopoxvirus infections
B081,Molluscum contagiosum
B0820,Exanthema subitum [sixth disease] unspecified
B083,Erythema infectiosum [fifth disease]
B084,Enteroviral vesicular stomatitis with exanthem
B0860,Parapoxvirus infection unspecified
B0861,Bovine stomatitis
B0862,Sealpox
B0869,Other parapoxvirus infections
B0870,Yatapoxvirus infection unspecified
B0871,Tanapox virus disease
B0872,Yaba pox virus disease
B0879,Other yatapoxvirus infections
B088,Other specified viral infections characterized by skin and mucous membrane lesions
B09,Unspecified viral infection characterized by skin and mucous membrane lesions
B1001,Human herpesvirus 6 encephalitis
B1009,Other human herpesvirus encephalitis
B1081,Human herpesvirus 6 infection
B1089,Other human herpesvirus infection
B150,Hepatitis A with hepatic coma
B160,Acute hepatitis B with delta-agent with hepatic coma
B170,Acute delta-(super) infection of hepatitis B carrier
B1710,Acute hepatitis C without hepatic coma
B178,Other specified acute viral hepatitis
B179,Acute viral hepatitis unspecified
B180,Chronic viral hepatitis B with delta-agent
B188,Other chronic viral hepatitis
B189,Chronic viral hepatitis unspecified
B190,Unspecified viral hepatitis with hepatic coma
B20,Human immunodeficiency virus [HIV] disease
B250,Cytomegaloviral pneumonitis
B258,Other cytomegaloviral diseases
B259,Cytomegaloviral disease unspecified
B260,Mumps orchitis
B261,Mumps meningitis
B262,Mumps encephalitis
B263,Mumps pancreatitis
B2681,Mumps hepatitis
B2682,Mumps myocarditis
B2683,Mumps nephritis
B2684,Mumps polyneuropathy
B2685,Mumps arthritis
B2689,Other mumps complications
B269,Mumps without complication
B2700,Gammaherpesviral mononucleosis without complication
B2710,Cytomegaloviral mononucleosis without complications
B2780,Other infectious mononucleosis without complication
B2790,Infectious mononucleosis unspecified without complication
B300,Keratoconjunctivitis due to adenovirus
B301,Conjunctivitis due to adenovirus
B302,Viral pharyngoconjunctivitis
B303,Acute epidemic hemorrhagic conjunctivitis (enteroviral)
B308,Other viral conjunctivitis
B309,Viral conjunctivitis unspecified
B330,Epidemic myalgia
B331,Ross River disease
B3320,Viral carditis unspecified
B3321,Viral endocarditis
B3322,Viral myocarditis
B3323,Viral pericarditis
B3324,Viral cardiomyopathy
B333,Retrovirus infections not elsewhere classified
B334,Hantavirus (cardio)-pulmonary syndrome [HPS] [HCPS]
B338,Other specified viral diseases
B340,Adenovirus infection unspecified
B341,Enterovirus infection unspecified
B342,Coronavirus infection unspecified
B343,Parvovirus infection unspecified
B344,Papovavirus infection unspecified
B348,Other viral infections of unspecified site
B349,Viral infection unspecified
B350,Tinea barbae and tinea capitis
B351,Tinea unguium
B352,Tinea manuum
B353,Tinea pedis
B354,Tinea corporis
B355,Tinea imbricata
B356,Tinea cruris
B358,Other dermatophytoses
B359,Dermatophytosis unspecified
B360,Pityriasis versicolor
B361,Tinea nigra
B362,White piedra
B363,Black piedra
B368,Other specified superficial mycoses
B369,Superficial mycosis unspecified
B370,Candidal stomatitis
B371,Pulmonary candidiasis
B372,Candidiasis of skin and nail
B3741,Candidal cystitis and urethritis
B3742,Candidal balanitis
B3749,Other urogenital candidiasis
B375,Candidal meningitis
B376,Candidal endocarditis
B377,Candidal sepsis
B3781,Candidal esophagitis
B3783,Candidal cheilitis
B3784,Candidal otitis externa
B3789,Other sites of candidiasis
B379,Candidiasis unspecified
B380,Acute pulmonary coccidioidomycosis
B381,Chronic pulmonary coccidioidomycosis
B382,Pulmonary coccidioidomycosis unspecified
B383,Cutaneous coccidioidomycosis
B384,Coccidioidomycosis meningitis
B387,Disseminated coccidioidomycosis
B3881,Prostatic coccidioidomycosis
B3889,Other forms of coccidioidomycosis
B389,Coccidioidomycosis unspecified
B390,Acute pulmonary histoplasmosis capsulati
B391,Chronic pulmonary histoplasmosis capsulati
B392,Pulmonary histoplasmosis capsulati unspecified
B393,Disseminated histoplasmosis capsulati
B394,Histoplasmosis capsulati unspecified
B400,Acute pulmonary blastomycosis
B401,Chronic pulmonary blastomycosis
B402,Pulmonary blastomycosis unspecified
B403,Cutaneous blastomycosis
B407,Disseminated blastomycosis
B4081,Blastomycotic meningoencephalitis
B4089,Other forms of blastomycosis
B409,Blastomycosis unspecified
B410,Pulmonary paracoccidioidomycosis
B417,Disseminated paracoccidioidomycosis
B418,Other forms of paracoccidioidomycosis
B419,Paracoccidioidomycosis unspecified
B420,Pulmonary sporotrichosis
B421,Lymphocutaneous sporotrichosis
B427,Disseminated sporotrichosis
B4281,Cerebral sporotrichosis
B4282,Sporotrichosis arthritis
B4289,Other forms of sporotrichosis
B429,Sporotrichosis unspecified
B430,Cutaneous chromomycosis
B431,Pheomycotic brain abscess
B432,Subcutaneous pheomycotic abscess and cyst
B438,Other forms of chromomycosis
B439,Chromomycosis unspecified
B440,Invasive pulmonary aspergillosis
B441,Other pulmonary aspergillosis
B442,Tonsillar aspergillosis
B447,Disseminated aspergillosis
B4481,Allergic bronchopulmonary aspergillosis
B4489,Other forms of aspergillosis
B449,Aspergillosis unspecified
B450,Pulmonary cryptococcosis
B451,Cerebral cryptococcosis
B452,Cutaneous cryptococcosis
B453,Osseous cryptococcosis
B457,Disseminated cryptococcosis
B458,Other forms of cryptococcosis
B459,Cryptococcosis unspecified
B460,Pulmonary mucormycosis
B461,Rhinocerebral mucormycosis
B462,Gastrointestinal mucormycosis
B463,Cutaneous mucormycosis
B464,Disseminated mucormycosis
B465,Mucormycosis unspecified
B468,Other zygomycoses
B469,Zygomycosis unspecified
B470,Eumycetoma
B471,Actinomycetoma
B479,Mycetoma unspecified
B480,Lobomycosis
B481,Rhinosporidiosis
B482,Allescheriasis
B483,Geotrichosis
B484,Penicillosis
B488,Other specified mycoses
B49,Unspecified mycosis
B500,Plasmodium falciparum malaria with cerebral complications
B508,Other severe and complicated Plasmodium falciparum malaria
B509,Plasmodium falciparum malaria unspecified
B531,Malaria due to simian plasmodia
B538,Other malaria not elsewhere classified
B54,Unspecified malaria
B550,Visceral leishmaniasis
B551,Cutaneous leishmaniasis
B552,Mucocutaneous leishmaniasis
B559,Leishmaniasis unspecified
B560,Gambiense trypanosomiasis
B561,Rhodesiense trypanosomiasis
B569,African trypanosomiasis unspecified
B570,Acute Chagas' disease with heart involvement
B572,Chagas' disease (chronic) with heart involvement
B5731,Megaesophagus in Chagas' disease
B5732,Megacolon in Chagas' disease
B5739,Other digestive system involvement in Chagas' disease
B5740,Chagas' disease with nervous system involvement unspecified
B5741,Meningitis in Chagas' disease
B5742,Meningoencephalitis in Chagas' disease
B5749,Other nervous system involvement in Chagas' disease
B575,Chagas' disease (chronic) with other organ involvement
B5800,Toxoplasma oculopathy unspecified
B5809,Other toxoplasma oculopathy
B581,Toxoplasma hepatitis
B583,Pulmonary toxoplasmosis
B5881,Toxoplasma myocarditis
B5889,Toxoplasmosis with other organ involvement
B59,Pneumocystosis
B6000,Babesiosis unspecified
B6009,Other babesiosis
B6010,Acanthamebiasis unspecified
B6011,Meningoencephalitis due to Acanthamoeba (culbertsoni)
B6012,Conjunctivitis due to Acanthamoeba
B6013,Keratoconjunctivitis due to Acanthamoeba
B6019,Other acanthamebic disease
B602,Naegleriasis
B608,Other specified protozoal diseases
B64,Unspecified protozoal disease
B650,Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]
B653,Cercarial dermatitis
B658,Other schistosomiasis
B659,Schistosomiasis unspecified
B660,Opisthorchiasis
B661,Clonorchiasis
B662,Dicroceliasis
B663,Fascioliasis
B664,Paragonimiasis
B665,Fasciolopsiasis
B668,Other specified fluke infections
B669,Fluke infection unspecified
B670,Echinococcus granulosus infection of liver
B6799,Other echinococcosis
B680,Taenia solium taeniasis
B681,Taenia saginata taeniasis
B689,Taeniasis unspecified
B690,Cysticercosis of central nervous system
B6981,Myositis in cysticercosis
B6989,Cysticercosis of other sites
B700,Diphyllobothriasis
B701,Sparganosis
B710,Hymenolepiasis
B711,Dipylidiasis
B718,Other specified cestode infections
B719,Cestode infection unspecified
B72,Dracunculiasis
B7300,Onchocerciasis with eye involvement unspecified
B740,Filariasis due to Wuchereria bancrofti
B743,Loiasis
B744,Mansonelliasis
B748,Other filariases
B749,Filariasis unspecified
B75,Trichinellosis
B760,Ancylostomiasis
B761,Necatoriasis
B768,Other hookworm diseases
B769,Hookworm disease unspecified
B770,Ascariasis with intestinal complications
B780,Intestinal strongyloidiasis
B781,Cutaneous strongyloidiasis
B787,Disseminated strongyloidiasis
B789,Strongyloidiasis unspecified
B79,Trichuriasis
B80,Enterobiasis
B810,Anisakiasis
B811,Intestinal capillariasis
B812,Trichostrongyliasis
B813,Intestinal angiostrongyliasis
B814,Mixed intestinal helminthiases
B818,Other specified intestinal helminthiases
B820,Intestinal helminthiasis unspecified
B830,Visceral larva migrans
B831,Gnathostomiasis
B832,Angiostrongyliasis due to Parastrongylus cantonensis
B833,Syngamiasis
B834,Internal hirudiniasis
B838,Other specified helminthiases
B839,Helminthiasis unspecified
B850,Pediculosis due to Pediculus humanus capitis
B853,Phthiriasis
B854,Mixed pediculosis and phthiriasis
B86,Scabies
B870,Cutaneous myiasis
B871,Wound myiasis
B872,Ocular myiasis
B873,Nasopharyngeal myiasis
B874,Aural myiasis
B8781,Genitourinary myiasis
B8782,Intestinal myiasis
B8789,Myiasis of other sites
B879,Myiasis unspecified
B880,Other acariasis
B881,Tungiasis [sandflea infestation]
B882,Other arthropod infestations
B883,External hirudiniasis
B888,Other specified infestations
B889,Infestation unspecified
B89,Unspecified parasitic disease
B900,Sequelae of central nervous system tuberculosis
B950,Streptococcus group A as the cause of diseases classified elsewhere
B952,Enterococcus as the cause of diseases classified elsewhere
B953,Streptococcus pneumoniae as the cause of diseases classified elsewhere
B954,Other streptococcus as the cause of diseases classified elsewhere
B955,Unspecified streptococcus as the cause of diseases classified elsewhere
B9561,Methicillin susceptible Staphylococcus aureus infection as the cause of diseases classified elsewhere
B957,Other staphylococcus as the cause of diseases classified elsewhere
B958,Unspecified staphylococcus as the cause of diseases classified elsewhere
B960,Mycoplasma pneumoniae [M. pneumoniae] as the cause of diseases classified elsewhere
B961,Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere
B9620,Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere
B9621,Shiga toxin-producing Escherichia coli [E. coli] [STEC] O157 as the cause of diseases classified elsewhere
B9622,Other specified Shiga toxin-producing Escherichia coli [E. coli] [STEC] as the cause of diseases classified elsewhere
B9623,Unspecified Shiga toxin-producing Escherichia coli [E. coli] [STEC] as the cause of diseases classified elsewhere
B9629,Other Escherichia coli [E. coli] as the cause of diseases classified elsewhere
B963,Hemophilus influenzae [H. influenzae] as the cause of diseases classified elsewhere
B964,Proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere
B965,Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere
B966,Bacteroides fragilis [B. fragilis] as the cause of diseases classified elsewhere
B967,Clostridium perfringens [C. perfringens] as the cause of diseases classified elsewhere
B9681,Helicobacter pylori [H. pylori] as the cause of diseases classified elsewhere
B9682,Vibrio vulnificus as the cause of diseases classified elsewhere
B9689,Other specified bacterial agents as the cause of diseases classified elsewhere
B970,Adenovirus as the cause of diseases classified elsewhere
B9710,Unspecified enterovirus as the cause of diseases classified elsewhere
B9711,Coxsackievirus as the cause of diseases classified elsewhere
B9712,Echovirus as the cause of diseases classified elsewhere
B9719,Other enterovirus as the cause of diseases classified elsewhere
B9721,SARS-associated coronavirus as the cause of diseases classified elsewhere
B9729,Other coronavirus as the cause of diseases classified elsewhere
B9730,Unspecified retrovirus as the cause of diseases classified elsewhere
B9731,Lentivirus as the cause of diseases classified elsewhere
B9732,Oncovirus as the cause of diseases classified elsewhere
B9733,Human T-cell lymphotrophic virus type I [HTLV-I] as the cause of diseases classified elsewhere
B9735,Human immunodeficiency virus type 2 [HIV 2] as the cause of diseases classified elsewhere
B9739,Other retrovirus as the cause of diseases classified elsewhere
B974,Respiratory syncytial virus as the cause of diseases classified elsewhere
B975,Reovirus as the cause of diseases classified elsewhere
B976,Parvovirus as the cause of diseases classified elsewhere
B977,Papillomavirus as the cause of diseases classified elsewhere
B9781,Human metapneumovirus as the cause of diseases classified elsewhere
B9789,Other viral agents as the cause of diseases classified elsewhere
B998,Other infectious disease
B999,Unspecified infectious disease
C000,Malignant neoplasm of external upper lip
C173,Meckel's diverticulum malignant
C178,Malignant neoplasm of overlapping sites of small intestine
C220,Liver cell carcinoma
C221,Intrahepatic bile duct carcinoma
C222,Hepatoblastoma
C223,Angiosarcoma of liver
C224,Other sarcomas of liver
C227,Other specified carcinomas of liver
C228,Malignant neoplasm of liver primary unspecified as to type
C4400,Unspecified malignant neoplasm of skin of lip
C4401,Basal cell carcinoma of skin of lip
C4402,Squamous cell carcinoma of skin of lip
C4409,Other specified malignant neoplasm of skin of lip
